exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp,damage_scale_factor
1,inequal_aversion_elasmu,False,1,0.05,0.001,1
2,inequal_aversion_elasmu,False,1,0.05,0.001,2
3,inequal_aversion_elasmu,False,1,0.05,0.001,3
4,inequal_aversion_elasmu,False,1,0.05,0.015,1
5,inequal_aversion_elasmu,False,1,0.05,0.015,2
6,inequal_aversion_elasmu,False,1,0.05,0.015,3
7,inequal_aversion_elasmu,False,1,0.05,0.03,1
8,inequal_aversion_elasmu,False,1,0.05,0.03,2
9,inequal_aversion_elasmu,False,1,0.05,0.03,3
10,inequal_aversion_elasmu,False,1,0.5,0.001,1
11,inequal_aversion_elasmu,False,1,0.5,0.001,2
12,inequal_aversion_elasmu,False,1,0.5,0.001,3
13,inequal_aversion_elasmu,False,1,0.5,0.015,1
14,inequal_aversion_elasmu,False,1,0.5,0.015,2
15,inequal_aversion_elasmu,False,1,0.5,0.015,3
16,inequal_aversion_elasmu,False,1,0.5,0.03,1
17,inequal_aversion_elasmu,False,1,0.5,0.03,2
18,inequal_aversion_elasmu,False,1,0.5,0.03,3
19,inequal_aversion_elasmu,False,1,0.95,0.001,1
20,inequal_aversion_elasmu,False,1,0.95,0.001,2
21,inequal_aversion_elasmu,False,1,0.95,0.001,3
22,inequal_aversion_elasmu,False,1,0.95,0.015,1
23,inequal_aversion_elasmu,False,1,0.95,0.015,2
24,inequal_aversion_elasmu,False,1,0.95,0.015,3
25,inequal_aversion_elasmu,False,1,0.95,0.03,1
26,inequal_aversion_elasmu,False,1,0.95,0.03,2
27,inequal_aversion_elasmu,False,1,0.95,0.03,3
28,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.001,1
29,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.001,2
30,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.001,3
31,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.015,1
32,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.015,2
33,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.015,3
34,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.03,1
35,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.03,2
36,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.03,3
37,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.001,1
38,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.001,2
39,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.001,3
40,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.015,1
41,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.015,2
42,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.015,3
43,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.03,1
44,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.03,2
45,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.03,3
46,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.001,1
47,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.001,2
48,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.001,3
49,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.015,1
50,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.015,2
51,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.015,3
52,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.03,1
53,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.03,2
54,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.03,3
55,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.001,1
56,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.001,2
57,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.001,3
58,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.015,1
59,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.015,2
60,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.015,3
61,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.03,1
62,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.03,2
63,inequal_aversion_elasmu,1344 GtCO2,1,0.05,0.03,3
