exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp
1,inequal_aversion_elasmu,False,2,0.05,0.01
2,inequal_aversion_elasmu,False,2,0.05,0.015
3,inequal_aversion_elasmu,False,2,0.05,0.03
4,inequal_aversion_elasmu,False,2,0.25,0.01
5,inequal_aversion_elasmu,False,2,0.25,0.015
6,inequal_aversion_elasmu,False,2,0.25,0.03
7,inequal_aversion_elasmu,False,2,0.5,0.01
8,inequal_aversion_elasmu,False,2,0.5,0.015
9,inequal_aversion_elasmu,False,2,0.5,0.03
10,inequal_aversion_elasmu,False,2,0.75,0.01
11,inequal_aversion_elasmu,False,2,0.75,0.015
12,inequal_aversion_elasmu,False,2,0.75,0.03
13,inequal_aversion_elasmu,False,2,0.95,0.01
14,inequal_aversion_elasmu,False,2,0.95,0.015
15,inequal_aversion_elasmu,False,2,0.95,0.03
16,inequal_aversion_elasmu,False,3,0.05,0.01
17,inequal_aversion_elasmu,False,3,0.05,0.015
18,inequal_aversion_elasmu,False,3,0.05,0.03
19,inequal_aversion_elasmu,False,3,0.25,0.01
20,inequal_aversion_elasmu,False,3,0.25,0.015
21,inequal_aversion_elasmu,False,3,0.25,0.03
22,inequal_aversion_elasmu,False,3,0.5,0.01
23,inequal_aversion_elasmu,False,3,0.5,0.015
24,inequal_aversion_elasmu,False,3,0.5,0.03
25,inequal_aversion_elasmu,False,3,0.75,0.01
26,inequal_aversion_elasmu,False,3,0.75,0.015
27,inequal_aversion_elasmu,False,3,0.75,0.03
28,inequal_aversion_elasmu,False,3,0.95,0.01
29,inequal_aversion_elasmu,False,3,0.95,0.015
30,inequal_aversion_elasmu,False,3,0.95,0.03
31,inequal_aversion_elasmu,633.829 GtCO2,2,0.05,0.01
32,inequal_aversion_elasmu,633.829 GtCO2,2,0.05,0.015
33,inequal_aversion_elasmu,633.829 GtCO2,2,0.05,0.03
34,inequal_aversion_elasmu,633.829 GtCO2,2,0.25,0.01
35,inequal_aversion_elasmu,633.829 GtCO2,2,0.25,0.015
36,inequal_aversion_elasmu,633.829 GtCO2,2,0.25,0.03
