exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp,damage_scale_factor,,,exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp,damage_scale_factor
217,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,1,,,217,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,1
218,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,2,,,218,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,2
219,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,3,,,219,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.001,3
220,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,1,,,220,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,1
221,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,2,,,221,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,2
222,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,3,,,222,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.015,3
223,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,1,,,223,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,1
224,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,2,,,224,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,2
225,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,3,,,225,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.05,0.03,3
226,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,1,,,226,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,1
227,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,2,,,227,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,2
228,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,3,,,228,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.001,3
229,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,1,,,229,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,1
230,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,2,,,230,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,2
231,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,3,,,231,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.015,3
232,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,1,,,232,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,1
233,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,2,,,233,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,2
234,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,3,,,234,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.5,0.03,3
235,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,1,,,235,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,1
236,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,2,,,236,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,2
237,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,3,,,237,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.001,3
238,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,1,,,238,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,1
239,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,2,,,239,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,2
240,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,3,,,240,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.015,3
241,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,1,,,241,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,1
242,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,2,,,242,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,2
243,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,3,,,243,inequal_aversion_elasmu_disutil,1344 GtCO2,3,0.95,0.03,3
