exp_num,welfare_module,carbon_budget,disutility_damage_factor,COACCH_damage_quantile,prtp
1,inequal_aversion_elasmu,False,1,0.05,0.001
2,inequal_aversion_elasmu,False,1,0.05,0.001
3,inequal_aversion_elasmu,False,1,0.05,0.001
4,inequal_aversion_elasmu,False,1,0.05,0.015
5,inequal_aversion_elasmu,False,1,0.05,0.015
6,inequal_aversion_elasmu,False,1,0.05,0.015
7,inequal_aversion_elasmu,False,1,0.05,0.03
8,inequal_aversion_elasmu,False,1,0.05,0.03
9,inequal_aversion_elasmu,False,1,0.05,0.03
10,inequal_aversion_elasmu,False,1,0.5,0.001
11,inequal_aversion_elasmu,False,1,0.5,0.001
12,inequal_aversion_elasmu,False,1,0.5,0.001
13,inequal_aversion_elasmu,False,1,0.5,0.015
14,inequal_aversion_elasmu,False,1,0.5,0.015
15,inequal_aversion_elasmu,False,1,0.5,0.015
16,inequal_aversion_elasmu,False,1,0.5,0.03
17,inequal_aversion_elasmu,False,1,0.5,0.03
18,inequal_aversion_elasmu,False,1,0.5,0.03
19,inequal_aversion_elasmu,False,1,0.95,0.001
20,inequal_aversion_elasmu,False,1,0.95,0.001
21,inequal_aversion_elasmu,False,1,0.95,0.001
22,inequal_aversion_elasmu,False,1,0.95,0.015
23,inequal_aversion_elasmu,False,1,0.95,0.015
24,inequal_aversion_elasmu,False,1,0.95,0.015
25,inequal_aversion_elasmu,False,1,0.95,0.03
26,inequal_aversion_elasmu,False,1,0.95,0.03
27,inequal_aversion_elasmu,False,1,0.95,0.03
28,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.001
29,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.001
30,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.001
31,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.015
32,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.015
33,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.015
34,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.03
35,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.03
36,inequal_aversion_elasmu,633.829 GtCO2,1,0.05,0.03
37,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.001
38,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.001
39,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.001
40,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.015
41,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.015
42,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.015
43,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.03
44,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.03
45,inequal_aversion_elasmu,633.829 GtCO2,1,0.5,0.03
46,inequal_aversion_elasmu,633.829 GtCO2,1,0.95,0.001
